date,open,high,low,close,volume,%daily gain/loss,avg daily price,usd traded
2017-02-10,132.46,132.94,132.05,132.12,20065458,-0.25668126226785704,132.5,2658673185.0
2017-02-13,133.08,133.82,132.75,133.29,23035421,0.15779981965733356,133.28,3070160910.88
2017-02-14,133.47,135.09,133.25,135.02,33226223,1.1613096576009676,134.17,4457962339.91
2017-02-15,135.52,136.27,134.62,135.51,35623100,-0.007378984651726185,135.44,4824792664.0
2017-02-16,135.67,135.9,134.84,135.35,22584555,-0.23586644062798937,135.37,3057271210.35
2017-02-17,135.1,135.83,135.1,135.72,22198197,0.45891931902294936,135.46,3006967765.6200004
2017-02-21,136.23,136.75,135.98,136.7,24507156,0.34500477134258156,136.36,3341795792.1600003
2017-02-22,136.43,137.12,136.11,137.11,20836932,0.49842410027120637,136.62,2846741649.84
2017-02-23,137.38,137.48,136.3,136.53,20788186,-0.6187217935652892,136.89,2845694781.5399995
2017-02-24,135.91,136.66,135.28,136.66,21776585,0.5518357736737547,135.97,2960962262.45
2017-02-27,137.14,137.44,136.28,136.93,20257426,-0.15312819017061363,136.86,2772431322.36
2017-02-28,137.08,137.44,136.7,136.99,23482860,-0.06565509191713116,137.07,3218795620.2
2017-03-01,137.89,140.15,137.6,139.79,36414585,1.3779099282036449,138.88,5057257564.8
2017-03-02,140.0,140.28,138.76,138.96,26210984,-0.7428571428571372,139.52,3656956487.6800003
2017-03-03,138.78,139.83,138.59,139.78,21571121,0.7205649228995532,139.21,3002915754.4100003
2017-03-06,139.37,139.77,138.6,139.34,21750044,-0.02152543589007759,139.18,3027171123.92
2017-03-07,139.06,139.98,138.79,139.52,17446297,0.33079246368474613,139.38,2431664875.86
2017-03-08,138.95,139.8,138.82,139.0,18707236,0.035984166966542906,139.31,2606105047.16
2017-03-09,138.74,138.79,137.05,138.68,22155904,-0.043246360098026716,137.92,3055742279.68
2017-03-10,139.25,139.36,138.64,139.14,19612801,-0.07899461400360046,139.0,2726179339.0
2017-03-13,138.85,139.43,138.82,139.2,17421717,0.2520705797623294,139.12,2423709269.04
2017-03-14,139.3,139.65,138.84,138.99,15309065,-0.22254127781766134,139.24,2131634210.6000001
2017-03-15,139.41,140.75,139.03,140.46,25691774,0.7531740908112843,139.89,3594022264.8599997
2017-03-16,140.72,141.02,140.26,140.69,19231998,-0.021318931210916103,140.64,2704788198.72
2017-03-17,141.0,141.0,139.89,139.99,43884952,-0.7163120567375822,140.44,6163202658.88
2017-03-20,140.4,141.5,140.23,141.46,21542038,0.7549857549857566,140.86,3034411472.6800003
2017-03-21,142.11,142.8,139.73,139.84,39529912,-1.5973541622686722,141.26,5583995369.12
2017-03-22,139.85,141.6,139.76,141.42,25860165,1.1226313907758265,140.68,3638008012.2000003
