date,open,high,low,close,volume,%daily gain/loss,avg daily price,usd traded
2017-02-10,823.82,828.0,822.85,827.46,2429609,0.4418440921560518,825.42,2005447860.78
2017-02-13,831.62,843.0,828.55,836.53,4172618,0.5904138909598096,835.78,3487390672.04
2017-02-14,837.0,838.31,831.45,836.39,2792442,-0.0728793309438487,834.88,2331353976.96
2017-02-15,834.0,842.81,832.82,842.7,2968853,1.0431654676259048,837.82,2487364420.46
2017-02-16,841.84,845.0,839.38,844.14,2714667,0.27321106148436214,842.19,2286265400.73
2017-02-17,842.0,847.27,840.73,845.07,3112275,0.3646080760095071,844.0,2626760100.0
2017-02-21,848.84,857.98,847.25,856.44,3507742,0.8953395221714366,852.62,2990770984.04
2017-02-22,856.95,858.43,852.18,855.61,2616971,-0.1563685162494932,855.3,2238295296.2999997
2017-02-23,857.57,860.86,848.0,852.19,3461984,-0.6273540352391053,854.43,2958022989.12
2017-02-24,844.69,845.81,837.75,845.24,3687963,0.06511264487562947,841.78,3104453494.14
2017-02-27,842.38,852.5,839.67,848.64,2713627,0.7431325530045811,846.08,2295945532.1600003
2017-02-28,851.45,854.09,842.05,845.04,2793709,-0.7528334018439229,848.07,2369260791.63
2017-03-01,853.05,854.83,849.01,853.08,2760083,0.0035167926850813436,851.92,2351369909.3599997
2017-03-02,853.08,854.82,847.28,848.91,2132098,-0.4888169925446702,851.05,1814522002.8999999
2017-03-03,847.2,851.99,846.27,849.88,1951575,0.3163361661945172,849.13,1657140879.75
2017-03-06,845.23,848.49,841.12,846.61,2610370,0.1632691693385227,844.8,2205240576.0
2017-03-07,845.48,848.46,843.75,846.02,2247554,0.06386904480294786,846.1,1901655439.4
2017-03-08,848.0,853.07,846.79,850.5,2288317,0.294811320754717,849.93,1944909267.81
2017-03-09,851.0,856.4,850.31,853.0,2048187,0.23501762632197415,853.36,1747840858.32
2017-03-10,857.0,857.35,851.72,852.46,2436434,-0.5297549591598557,854.54,2082030310.36
2017-03-13,851.77,855.69,851.71,854.59,1909672,0.3310752902778978,853.7,1630286986.4
2017-03-14,853.55,853.75,847.55,852.53,2130586,-0.11950090797258296,850.65,1812382980.8999999
2017-03-15,854.33,854.45,847.11,852.97,2562176,-0.15918907213840244,850.78,2179848097.2799997
2017-03-16,855.3,855.5,850.51,853.42,1842296,-0.21980591605284644,853.0,1571478488.0
2017-03-17,853.49,853.83,850.64,852.31,3384403,-0.13825586708690948,852.24,2884323612.7200003
2017-03-20,851.51,857.8,851.01,856.97,2282727,0.6412138436424747,854.4,1950361948.8
2017-03-21,858.84,862.8,841.31,843.2,4382852,-1.8210609659540757,852.06,3734452875.12
2017-03-22,840.43,849.37,839.05,848.06,2658669,0.907868591078376,844.21,2244474956.4900002
2017-03-23,848.2,850.89,844.8,847.38,1952964,-0.09667531242632044,847.84,1655800997.76
2017-03-24,851.68,851.8,843.53,845.61,2138269,-0.7127089986849446,847.66,1812525100.54
2017-03-27,838.07,850.3,833.5,846.82,2755775,1.0440655315188467,841.9,2320086972.5
2017-03-28,851.75,858.46,850.1,856.0,3041633,0.49897270325799825,854.28,2598406239.24
2017-03-29,859.05,876.44,859.02,874.32,4485770,1.777544962458541,867.73,3892437202.1
2017-03-30,874.95,877.06,871.66,876.34,2762730,0.15886622092690852,874.36,2415620602.8
2017-03-31,877.0,890.35,876.65,886.54,3957612,1.0877993158494828,883.5,3496550202.0
2017-04-03,888.0,893.49,885.42,891.51,3422328,0.3952702702702693,889.46,3044023862.88
2017-04-04,891.5,908.54,890.28,906.83,4984656,1.7195737521032015,899.41,4483249452.96
2017-04-05,910.82,923.72,905.62,909.28,7508370,-0.16907841285875116,914.67,6867680787.9
2017-04-06,913.8,917.19,894.49,898.28,6344065,-1.6984022762092341,905.84,5746707839.6
2017-04-07,899.65,900.09,889.31,894.88,3710922,-0.5302061912966134,894.7,3320161913.4
2017-04-10,899.63,908.51,899.0,907.04,3184301,0.8236719540255403,903.76,2877843871.7599998
2017-04-11,907.04,911.24,897.5,902.36,3012743,-0.5159640148174226,904.37,2724634386.91
2017-04-12,903.09,904.09,895.25,896.23,2456140,-0.7596142134228054,899.67,2209715473.7999997
2017-04-13,891.45,894.97,884.49,884.67,3174583,-0.7605586404173073,889.73,2824521732.59
2017-04-17,887.5,902.38,887.5,901.99,2854673,1.6326760563380294,894.94,2554761054.6200004
2017-04-18,900.99,909.61,900.78,903.78,2999238,0.30965937468783933,905.2,2714910237.6
2017-04-19,907.84,910.5,897.37,899.2,2870242,-0.9517095523440239,903.94,2594526553.48
2017-04-20,899.7,905.32,896.29,902.06,2814441,0.2623096587751362,900.8,2535248452.7999997
2017-04-21,902.67,903.65,896.77,898.53,2420494,-0.45863936986938597,900.21,2178952903.7400002
2017-04-24,908.68,909.99,903.82,907.41,3122893,-0.1397631729541733,906.9,2832151661.7
2017-04-25,907.04,909.48,903.0,907.62,3380639,0.06394425824660885,906.24,3063670287.36
2017-04-26,910.3,915.75,907.56,909.29,2608948,-0.11095243326375821,911.66,2378473533.68
2017-04-27,914.39,921.86,912.11,918.38,5305543,0.43635647808921896,916.98,4865076820.14
2017-04-28,948.83,949.59,924.33,924.99,7364681,-2.5125681101988797,936.96,6900411509.76
2017-05-01,927.8,954.4,927.8,948.23,5466544,2.2019831860314794,941.1,5144564558.400001
2017-05-02,946.65,950.1,941.41,946.94,3848835,0.03063434215391933,945.76,3640074189.6
2017-05-03,946.0,946.0,935.9,941.03,3582686,-0.5253699788583538,940.95,3371128391.7000003
2017-05-04,944.75,945.0,934.22,937.53,2418381,-0.7642233395078092,939.61,2272334971.41
2017-05-05,940.52,940.79,930.3,934.15,2866397,-0.6772849062220904,935.54,2681629049.38
2017-05-08,940.95,949.05,939.21,949.04,3415731,0.8597693820075368,944.13,3224894109.03
2017-05-09,952.8,957.89,950.2,952.82,3262113,0.002099076406391215,954.04,3112186286.52
2017-05-10,953.5,953.75,945.0,948.95,2096512,-0.47718930256947606,949.38,1990386562.56
2017-05-11,945.11,950.29,940.78,947.62,2194070,0.265577551819364,945.54,2074580947.8
2017-05-12,954.5,962.79,951.53,961.35,3625857,0.7176532215819825,957.16,3470525286.12
2017-05-15,958.73,963.15,956.06,957.97,4270625,-0.07927153630323354,959.6,4098091750.0
2017-05-16,961.0,970.06,960.91,966.07,3126051,0.527575442247664,965.48,3018139719.48
2017-05-17,954.7,960.4,944.12,944.76,5145578,-1.0411647638001522,952.26,4899928106.28
