date,open,high,low,close,volume,%daily gain/loss,avg daily price,usd traded
2017-02-10,832.95,837.15,830.51,834.85,1415128,0.2281049282670001,833.83,1179976180.24
2017-02-13,837.7,841.74,836.25,838.96,1295708,0.15041184194819038,839.0,1087099012.0
2017-02-14,839.77,842.0,835.83,840.03,1363345,0.03096085833025601,838.92,1143737387.3999999
2017-02-15,838.81,841.77,836.22,837.32,1357185,-0.17763259856223643,839.0,1138678215.0
2017-02-16,838.5,842.69,837.26,842.17,1005084,0.437686344663084,839.98,844250458.32
2017-02-17,841.31,846.94,839.78,846.55,1461210,0.622838192818344,843.36,1232326065.6
2017-02-21,847.99,852.2,846.55,849.27,1261062,0.15094517624028264,849.38,1071120841.56
2017-02-22,848.0,853.79,846.71,851.36,1224889,0.39622641509434126,850.25,1041461872.25
2017-02-23,851.08,852.62,842.5,851.0,1386681,-0.009399821403398144,847.56,1175295348.36
2017-02-24,847.65,848.36,842.96,847.81,1346189,0.018875715212642974,845.66,1138418189.74
2017-02-27,844.95,850.67,843.01,849.67,1010333,0.5586129356766569,846.84,855590397.72
2017-02-28,847.35,848.83,841.44,844.93,1383119,-0.2855962707263908,845.14,1168929191.66
2017-03-01,851.38,858.0,849.02,856.75,1818671,0.6307406798374409,853.51,1552253885.21
2017-03-02,856.31,856.49,848.72,849.85,1250938,-0.7543996917004265,852.6,1066549738.8000001
2017-03-03,848.94,850.82,844.71,849.08,1006612,0.016491153673991843,847.77,853375455.24
2017-03-06,846.86,848.94,841.17,847.27,1047872,0.048414141652689716,845.06,885514712.3199999
2017-03-07,847.26,853.33,845.52,851.15,1038696,0.4591270684323568,849.42,882289156.3199999
2017-03-08,853.12,856.93,851.25,853.64,1029834,0.060952738184544004,854.09,879570921.0600001
2017-03-09,853.69,860.71,852.67,857.84,1347697,0.4861249399664957,856.69,1154558542.93
2017-03-10,862.7,864.23,857.61,861.41,1336585,-0.14953054364206297,860.92,1150692758.2
2017-03-13,860.83,867.13,860.82,864.58,1166605,0.4356260818047698,863.98,1007923387.9
2017-03-14,863.75,867.58,860.13,865.91,1061692,0.25007235890014107,863.86,917153251.12
2017-03-15,867.94,869.88,861.3,868.39,1332885,0.05184690185956769,865.59,1153731927.15
2017-03-16,870.53,872.71,867.52,870.0,1104452,-0.06088245092070035,870.12,961005774.24
2017-03-17,873.68,874.42,868.37,872.37,1868252,-0.14994048164086915,871.4,1627994792.8
2017-03-20,869.48,870.34,864.67,867.91,1542199,-0.1805676956341779,867.5,1337857632.5
