date,open,high,low,close,volume,% daily gain/loss,avg daily price,usd traded
2017-02-10,3.737,3.89,3.55091,3.779899,401548.51085862,1.1479529033984426,3.72,1493760.4603940665
2017-02-11,3.761927,3.95996,3.702,3.757,44567.17347402,-0.13097011186022225,3.83,170692.2744054966
2017-02-12,3.757,3.85,3.4,3.7194,49788.12015166,-1.0007985094490364,3.62,180232.9949490092
2017-02-13,3.725,3.83,3.65,3.79,62595.50586934,1.7449664429530185,3.74,234107.1919513316
2017-02-14,3.74,3.84348,3.67,3.783455,89081.17109486,1.1618983957219198,3.76,334945.2033166736
2017-02-15,3.797899,3.91,3.731,3.90418,103200.67847665,2.7984156503372013,3.82,394226.591780803
2017-02-16,3.81,3.94,3.780003,3.86,82361.00097323,1.3123359580052447,3.86,317913.4637566678
2017-02-17,3.802353,3.95,3.731,3.818332,76027.60634301,0.4202397831027193,3.84,291946.0083571584
2017-02-18,3.878,3.94,3.720123,3.721817,64120.83309816,-4.027411036616812,3.83,245582.7907659528
2017-02-19,3.843,3.85,3.69,3.718663,88374.20954084,-3.235415040333077,3.77,333170.76996896684
2017-02-20,3.76,3.8569,3.670666,3.71,138828.49877761,-1.3297872340425485,3.76,521995.1554038135
2017-02-21,3.71,3.89,3.7,3.8566,158211.46148778,3.951482479784362,3.8,601203.553653564
2017-02-22,3.826,3.93,3.093,3.7742,218513.86550188,-1.353894406691063,3.51,766983.6679115988
2017-02-23,3.81,4.0,3.750126,3.805,139126.19889996,-0.13123359580052213,3.88,539809.6517318448
2017-02-24,3.9353,4.0,3.668,3.94999,185698.69675734,0.3732879323050419,3.83,711226.0085806121
2017-02-25,3.951,3.98,3.772387,3.9,86247.46083855,-1.2908124525436637,3.88,334640.148053574
2017-02-26,3.834,3.93,3.75,3.88,67356.24595597,1.1997913406364062,3.84,258647.98447092477
2017-02-27,3.77,3.93,3.72223,3.87,145318.42326888,2.6525198938992065,3.83,556569.5611198104
2017-02-28,3.781145,3.94,3.741,3.741,77199.71324186,-1.0617154327591214,3.84,296446.89884874236
2017-03-01,3.752479,3.98248,3.741,3.848,118209.51742801,2.545543892450824,3.86,456288.7372721186
2017-03-02,3.897,4.380237,3.77,3.93,586587.29880806,0.8468052347960062,4.08,2393276.179136885
2017-03-03,3.93,4.5,3.910003,3.983844,212376.94089867,1.370076335877857,4.21,894106.9211834007
2017-03-04,4.0999,4.14,3.88,3.947879,74198.0354375,-3.7079197053586666,4.01,297534.122104375
2017-03-05,3.952979,4.0457,3.85,3.948649,76897.74496627,-0.10953764237047413,3.95,303746.0926167665
2017-03-06,3.948664,4.1004,3.912,4.026398,103605.87059868,1.9686152075740153,4.01,415459.5411007068
2017-03-07,4.059,4.26,3.89,3.99,130255.30296667,-1.6999260901699915,4.08,531441.6361040137
2017-03-08,3.962629,4.01,3.7512,3.772,112523.31985876,-4.810669886078166,3.88,436590.4810519888
