date,open,high,low,close,volume,%daily gain/loss,avg daily price,usd traded
2017-02-10,26.18,26.32,26.15,26.28,463200,0.38197097020626974,26.24,12152052.0
2017-02-13,26.3,26.39,26.25,26.33,491771,0.1140684410646296,26.32,12943412.72
2017-02-14,26.24,26.25,26.03,26.25,437777,0.038109756097566935,26.14,11443490.78
2017-02-15,26.55,26.78,26.37,26.73,988187,0.6779661016949142,26.58,26261069.525000002
2017-02-16,27.15,27.41,26.9,27.23,609656,0.29465930018416886,27.16,16555208.680000002
2017-02-17,27.22,27.34,27.15,27.33,329518,0.4041146216017613,27.24,8977717.909999998
2017-02-21,27.12,27.37,27.06,27.37,755973,0.9218289085545722,27.22,20573805.195
2017-02-22,27.67,27.7,27.47,27.48,1240119,-0.6866642573184,27.58,34208682.615
2017-02-23,27.68,27.81,27.45,27.5,915505,-0.6502890173410394,27.63,25295403.15
2017-02-24,27.14,27.32,26.96,27.11,502596,-0.11053795136330559,27.14,13640455.44
2017-02-27,27.05,27.1,27.0,27.08,272935,0.11090573012938107,27.05,7382891.75
2017-02-28,26.7,26.88,26.51,26.56,729868,-0.5243445692883917,26.7,19483826.26
2017-03-01,26.93,27.0,26.75,26.93,727079,0.0,26.88,19540248.125
2017-03-02,26.65,26.65,26.47,26.47,748681,-0.6754221388367719,26.56,19884967.36
2017-03-03,26.78,26.92,26.73,26.76,605730,-0.07468259895444201,26.83,16248707.250000002
2017-03-06,26.83,27.09,26.8,26.99,535492,0.5963473723443912,26.94,14428831.94
2017-03-07,27.05,27.36,27.05,27.28,839020,0.850277264325325,27.2,22825539.099999998
2017-03-08,27.4,27.4,27.15,27.2,860171,-0.7299270072992675,27.28,23461164.025
2017-03-09,26.93,27.02,26.67,26.83,1178722,-0.3713330857779481,26.84,31642792.09
2017-03-10,27.28,27.42,27.25,27.38,563814,0.3665689149560039,27.34,15411855.690000001
2017-03-13,27.73,27.76,27.62,27.74,881610,0.03606202668589257,27.69,24411780.900000002
2017-03-14,27.72,27.72,27.41,27.51,851621,-0.7575757575757479,27.56,23474932.865
2017-03-15,27.53,28.02,27.48,27.85,1791401,1.162368325463132,27.75,49711377.75
2017-03-16,28.5,28.6,28.45,28.52,1250394,0.07017543859648974,28.52,35667488.85
2017-03-17,28.6,28.69,28.56,28.57,732416,-0.10489510489510886,28.62,20965408.0
2017-03-20,29.35,29.61,29.35,29.56,1320145,0.71550255536626,29.48,38917874.6
2017-03-21,29.54,29.62,29.0,29.12,1718386,-1.4218009478672924,29.31,50365893.660000004
2017-03-22,28.67,29.04,28.45,28.89,1602694,0.7673526334147152,28.74,46069439.029999994
2017-03-23,28.75,28.93,28.56,28.87,953595,0.4173913043478295,28.74,27411088.275
2017-03-24,28.99,29.1,28.94,29.02,630007,0.10348395998620608,29.02,18282803.14
2017-03-27,28.93,29.15,28.8,29.07,934034,0.4839267196681665,28.98,27063635.150000002
2017-03-28,29.1,29.63,29.1,29.49,1174474,1.340206185567,29.36,34488429.010000005
2017-03-29,29.52,29.53,29.33,29.42,981348,-0.33875338753386813,29.43,28881071.64
2017-03-30,29.16,29.2,29.04,29.08,663447,-0.274348422496577,29.12,19319576.639999997
2017-03-31,29.0,29.0,28.77,28.86,665968,-0.48275862068965714,28.88,19236485.68
2017-04-03,29.03,29.16,28.93,29.06,856516,0.10334137099551355,29.04,24877507.220000003
2017-04-04,29.0,29.27,29.0,29.21,650735,0.7241379310344856,29.14,18959164.224999998
2017-04-05,29.56,29.61,29.31,29.39,1300902,-0.575101488497964,29.46,38324572.92
2017-04-06,29.35,29.52,29.35,29.52,907803,0.5792163543441163,29.44,26721181.305000003
