date,open,high,low,close,volume,% daily gain/loss,avg daily price,usd traded
2017-02-10,1.2528,1.3986,1.205,1.2597,193311.03464132,0.5507662835249145,1.3,
2017-02-11,1.2536,1.3,1.2203,1.2279,116942.01681121,-2.05009572431398,1.26,
2017-02-12,1.2245,1.239,1.2001,1.2168,96097.37718899,-0.6288280930992094,1.22,
2017-02-13,1.2181,1.2315,1.15047,1.192,186658.24075848,-2.142681224858387,1.19,
2017-02-14,1.193,1.25767,1.1887,1.2492,258769.27295437,4.710813076278292,1.22,
2017-02-15,1.25,1.28,1.24,1.265,112379.70963859,1.1999999999999922,1.26,
2017-02-16,1.265,1.27433,1.23147,1.235,206355.71018055,-2.371541501976269,1.25,
2017-02-17,1.24,1.25734,1.23,1.23,116654.04708013,-0.8064516129032264,1.24,
2017-02-18,1.2309,1.24618,1.20127,1.222,182495.64452479,-0.7230481761312966,1.22,
2017-02-19,1.2221,1.2385,1.21561,1.21932,63781.74997547,-0.22747729318386423,1.23,
2017-02-20,1.2192,1.2499,1.215,1.23,64800.58191867,0.8858267716535367,1.23,
2017-02-21,1.23,1.2633,1.20744,1.2525,111430.50059974,1.829268292682924,1.24,
2017-02-22,1.257,1.38999,1.216,1.217,78259.19107943,-3.182179793158299,1.3,
2017-02-23,1.2181,1.244,1.203,1.2379,158233.44453816,1.6254823085132617,1.22,
2017-02-24,1.23019,1.255,1.0,1.2125,401924.26613629,-1.4379892536925178,1.13,
2017-02-25,1.2125,1.2209,0.60000013,1.2103,153250.78799029,-0.1814432989690705,0.91,
2017-02-26,1.2108,1.2564,0.60000011,1.24322,229275.08210535,2.6775685497191852,0.93,
2017-02-27,1.25,1.26,1.22431,1.2432,267226.73095459,-0.5439999999999934,1.24,
2017-02-28,1.2355,1.2679,1.21239,1.2311,313005.31666926,-0.356131121003639,1.24,
2017-03-01,1.2373,1.43459,1.217,1.403,799833.85247047,13.39206336377596,1.33,
2017-03-02,1.4025,1.4076,1.33072,1.3607,424715.86497246,-2.980392156862749,1.37,
